time,data
550000000550.0,"[0.22, 0.0, 0.065]"
550400000554.0,"[0.22, 0.0, 0.071]"
550800000558.0,"[0.22, 0.0, 0.051]"
560000000560.0,"[0.22, 0.0, 0.115]"
560400000564.0,"[0.22, 0.0, 0.126]"
560800000568.0,"[0.22, 0.0, 0.136]"
570000000570.0,"[0.22, 0.0, 0.138]"
570400000574.0,"[0.22, 0.0, 0.07]"
570800000578.0,"[0.22, 0.0, 0.077]"
580000000580.0,"[0.22, 0.0, 0.058]"
580400000584.0,"[0.22, 0.0, 0.087]"
580800000588.0,"[0.22, 0.0, 0.07]"
590000000590.0,"[0.22, 0.0, 0.053]"
590400000594.0,"[0.22, 0.0, 0.065]"
590800000598.0,"[0.22, 0.0, 0.056]"
600000000600.0,"[0.22, 0.0, 0.059]"
600400000604.0,"[0.22, 0.0, -0.149]"
600800000608.0,"[0.22, 0.0, -0.026]"
610000000610.0,"[0.22, 0.0, -0.265]"
610400000614.0,"[0.22, 0.0, -0.115]"
610800000618.0,"[0.22, 0.0, -0.107]"
620000000620.0,"[0.22, 0.0, -0.369]"
620400000624.0,"[0.22, 0.0, -0.869]"
620800000628.0,"[0.22, 0.0, -0.615]"
630000000630.0,"[0.22, 0.0, -0.454]"
630400000634.0,"[0.22, 0.0, -1.086]"
630800000638.0,"[0.22, 0.0, -0.57]"
640000000640.0,"[0.22, 0.0, 0.122]"
640400000644.0,"[0.22, 0.0, 0.033]"
640800000648.0,"[0.22, 0.0, -2.84]"
650000000650.0,"[0.22, 0.0, -2.563]"
650400000654.0,"[0.22, 0.0, 2.84]"
650800000658.0,"[0.22, 0.0, -2.84]"
660000000660.0,"[0.22, 0.0, -2.84]"
660400000664.0,"[0.22, 0.0, 2.84]"
660800000668.0,"[0.22, 0.0, 2.151]"
670000000670.0,"[0.22, 0.0, 2.281]"
670400000674.0,"[0.22, 0.0, -2.746]"
670800000678.0,"[0.22, 0.0, 1.322]"
680000000680.0,"[0.22, 0.0, 0.874]"
680400000684.0,"[0.22, 0.0, 0.524]"
680800000688.0,"[0.22, 0.0, 0.666]"
690000000690.0,"[0.22, 0.0, 0.812]"
690400000694.0,"[0.22, 0.0, 0.807]"
690800000698.0,"[0.22, 0.0, 0.919]"
700000000700.0,"[0.22, 0.0, 0.718]"
700400000704.0,"[0.22, 0.0, 0.147]"
700800000708.0,"[0.22, 0.0, 0.23]"
710000000710.0,"[0.22, 0.0, 0.253]"
710400000714.0,"[0.22, 0.0, 0.293]"
710800000718.0,"[0.22, 0.0, 0.296]"
720000000720.0,"[0.22, 0.0, 0.35]"
720400000724.0,"[0.22, 0.0, 0.495]"
720800000728.0,"[0.22, 0.0, 0.33]"
730000000730.0,"[0.22, 0.0, 0.029]"
730400000734.0,"[0.22, 0.0, -0.02]"
730800000738.0,"[0.22, 0.0, -0.116]"
740000000740.0,"[0.22, 0.0, -0.135]"
740400000744.0,"[0.22, 0.0, -0.087]"
740800000748.0,"[0.22, 0.0, -0.143]"
750000000750.0,"[0.22, 0.0, -0.139]"
750400000754.0,"[0.22, 0.0, -0.117]"
750800000758.0,"[0.22, 0.0, -0.111]"
760000000760.0,"[0.22, 0.0, -0.145]"
760400000764.0,"[0.22, 0.0, -0.105]"
760800000768.0,"[0.22, 0.0, -0.112]"
770000000770.0,"[0.22, 0.0, -0.086]"
770400000774.0,"[0.22, 0.0, -0.139]"
770800000778.0,"[0.22, 0.0, -0.046]"
780000000780.0,"[0.22, 0.0, 0.012]"
780400000784.0,"[0.22, 0.0, -0.041]"
780800000788.0,"[0.22, 0.0, -0.107]"
790000000790.0,"[0.22, 0.0, -0.112]"
790400000794.0,"[0.22, 0.0, -0.032]"
790800000798.0,"[0.22, 0.0, 0.246]"
800000000800.0,"[0.22, 0.0, -0.011]"
800400000804.0,"[0.22, 0.0, -0.021]"
800800000808.0,"[0.22, 0.0, -0.042]"
810000000810.0,"[0.22, 0.0, -0.033]"
810400000814.0,"[0.22, 0.0, 0.011]"
810800000818.0,"[0.22, 0.0, -0.031]"
820000000820.0,"[0.22, 0.0, -0.02]"
820400000824.0,"[0.22, 0.0, -0.011]"
820800000828.0,"[0.22, 0.0, -0.002]"
830000000830.0,"[0.22, 0.0, -0.002]"
830400000834.0,"[0.22, 0.0, 0.356]"
830800000838.0,"[0.22, 0.0, -0.003]"
840000000840.0,"[0.22, 0.0, 0.023]"
840400000844.0,"[0.22, 0.0, 0.013]"
840800000848.0,"[0.22, 0.0, 0.014]"
850000000850.0,"[0.22, 0.0, -0.002]"
850400000854.0,"[0.22, 0.0, 0.01]"
850800000858.0,"[0.22, 0.0, 0.009]"
860000000860.0,"[0.22, 0.0, -0.013]"
860400000864.0,"[0.22, 0.0, -0.03]"
860800000868.0,"[0.22, 0.0, -0.028]"
870000000870.0,"[0.22, 0.0, -0.029]"
870400000874.0,"[0.22, 0.0, 0.203]"
870800000878.0,"[0.22, 0.0, -0.094]"
880000000880.0,"[0.22, 0.0, -0.103]"
880400000884.0,"[0.22, 0.0, 0.125]"
880800000888.0,"[0.22, 0.0, -0.108]"
890000000890.0,"[0.22, 0.0, 0.1]"
890400000894.0,"[0.22, 0.0, -0.106]"
890800000898.0,"[0.22, 0.0, -0.099]"
900000000900.0,"[0.22, 0.0, 0.104]"
900400000904.0,"[0.22, 0.0, 0.089]"
900800000908.0,"[0.22, 0.0, -0.085]"
910000000910.0,"[0.22, 0.0, -0.192]"
910400000914.0,"[0.22, 0.0, 0.06]"
910800000918.0,"[0.22, 0.0, 0.029]"
920000000920.0,"[0.22, 0.0, 0.02]"
920400000924.0,"[0.22, 0.0, -0.245]"
920800000928.0,"[0.22, 0.0, 0.058]"
930000000930.0,"[0.22, 0.0, 0.095]"
930400000934.0,"[0.22, 0.0, 0.086]"
930800000938.0,"[0.22, 0.0, 0.017]"
940000000940.0,"[0.22, 0.0, 0.039]"
940400000944.0,"[0.22, 0.0, 0.033]"
940800000948.0,"[0.22, 0.0, -0.229]"
950000000950.0,"[0.22, 0.0, 0.071]"
950400000954.0,"[0.22, 0.0, 0.101]"
950800000958.0,"[0.22, 0.0, 0.059]"
960000000960.0,"[0.22, 0.0, 0.067]"
960400000964.0,"[0.22, 0.0, -0.098]"
960800000968.0,"[0.22, 0.0, 0.043]"
970000000970.0,"[0.22, 0.0, 0.043]"
970400000974.0,"[0.22, 0.0, -0.118]"
970800000978.0,"[0.22, 0.0, -0.077]"
980000000980.0,"[0.22, 0.0, -0.057]"
980400000984.0,"[0.22, 0.0, -0.049]"
980800000988.0,"[0.22, 0.0, -0.04]"
990000000990.0,"[0.22, 0.0, -0.042]"
990400000994.0,"[0.22, 0.0, -0.081]"
990800000998.0,"[0.22, 0.0, 0.015]"
1000000001000.0,"[0.22, 0.0, -0.051]"
1000400001004.0,"[0.22, 0.0, -0.01]"
1000800001008.0,"[0.22, 0.0, -0.049]"
1010000001010.0,"[0.22, 0.0, -0.037]"
1010400001014.0,"[0.22, 0.0, -0.111]"
1010800001018.0,"[0.22, 0.0, -0.035]"
1020000001020.0,"[0.22, 0.0, -0.113]"
1020400001024.0,"[0.22, 0.0, 0.09]"
1020800001028.0,"[0.22, 0.0, 0.097]"
1030000001030.0,"[0.22, 0.0, 0.172]"
1030400001034.0,"[0.22, 0.0, 0.111]"
1030800001038.0,"[0.22, 0.0, 0.11]"
1040000001040.0,"[0.22, 0.0, 0.069]"
1040400001044.0,"[0.22, 0.0, 0.005]"
1040800001048.0,"[0.22, 0.0, 0.19]"
1050000001050.0,"[0.22, 0.0, 0.195]"
1050400001054.0,"[0.22, 0.0, -0.021]"
1050800001058.0,"[0.22, 0.0, 0.066]"
1060000001060.0,"[0.22, 0.0, 0.148]"
1060400001064.0,"[0.22, 0.0, -0.118]"
1060800001068.0,"[0.22, 0.0, -0.054]"
1070000001070.0,"[0.22, 0.0, 0.11]"
1070400001074.0,"[0.22, 0.0, -0.099]"
1070800001078.0,"[0.22, 0.0, 0.181]"
1080000001080.0,"[0.22, 0.0, 0.192]"
1080400001084.0,"[0.22, 0.0, -0.08]"
1080800001088.0,"[0.22, 0.0, -0.025]"
1090000001090.0,"[0.22, 0.0, -0.056]"
1090400001094.0,"[0.22, 0.0, -0.055]"
1090800001098.0,"[0.22, 0.0, 0.171]"
1100000001100.0,"[0.22, 0.0, -0.044]"
1100400001104.0,"[0.22, 0.0, -0.042]"
1100800001108.0,"[0.22, 0.0, -0.051]"
1110000001110.0,"[0.22, 0.0, 0.084]"
1110400001114.0,"[0.22, 0.0, -0.064]"
1110800001118.0,"[0.22, 0.0, 0.056]"
1120000001120.0,"[0.22, 0.0, 0.09]"
1120400001124.0,"[0.22, 0.0, -0.072]"
1120800001128.0,"[0.22, 0.0, 0.031]"
1130000001130.0,"[0.22, 0.0, 0.035]"
1130400001134.0,"[0.22, 0.0, 0.031]"
1130800001138.0,"[0.22, 0.0, 0.03]"
1140000001140.0,"[0.22, 0.0, 0.037]"
1140400001144.0,"[0.22, 0.0, 0.031]"
1140800001148.0,"[0.22, 0.0, -0.027]"
1150000001150.0,"[0.22, 0.0, -0.032]"
1150400001154.0,"[0.22, 0.0, -0.036]"
1150800001158.0,"[0.22, 0.0, 0.032]"
1160000001160.0,"[0.22, 0.0, 0.016]"
1160400001164.0,"[0.22, 0.0, 0.048]"
1160800001168.0,"[0.22, 0.0, 0.086]"
1170000001170.0,"[0.22, 0.0, 0.06]"
1170400001174.0,"[0.22, 0.0, -0.275]"
1170800001178.0,"[0.22, 0.0, 0.087]"
1180000001180.0,"[0.22, 0.0, 0.084]"
1180400001184.0,"[0.22, 0.0, 0.086]"
1180800001188.0,"[0.22, 0.0, 0.01]"
1190000001190.0,"[0.22, 0.0, 0.006]"
1190400001194.0,"[0.22, 0.0, 0.005]"
1190800001198.0,"[0.22, 0.0, -0.01]"
1200000001200.0,"[0.22, 0.0, -0.029]"
1200400001204.0,"[0.22, 0.0, -0.05]"
1200800001208.0,"[0.22, 0.0, -0.065]"
1210000001210.0,"[0.22, 0.0, -0.133]"
1210400001214.0,"[0.22, 0.0, -0.151]"
1210800001218.0,"[0.22, 0.0, -0.33]"
1220000001220.0,"[0.22, 0.0, -0.449]"
1220400001224.0,"[0.22, 0.0, -0.535]"
1220800001228.0,"[0.22, 0.0, -0.122]"
1230000001230.0,"[0.22, 0.0, -0.058]"
1230400001234.0,"[0.22, 0.0, -0.068]"
1230800001238.0,"[0.22, 0.0, -0.021]"
1240000001240.0,"[0.22, 0.0, 0.11]"
1240400001244.0,"[0.22, 0.0, 0.152]"
1240800001248.0,"[0.22, 0.0, 0.214]"
1250000001250.0,"[0.22, 0.0, 0.081]"
1250400001254.0,"[0.22, 0.0, 0.188]"
1250800001258.0,"[0.22, 0.0, 0.122]"
1260000001260.0,"[0.22, 0.0, 0.095]"
1260400001264.0,"[0.22, 0.0, 0.155]"
1260800001268.0,"[0.22, 0.0, 0.094]"
1270000001270.0,"[0.22, 0.0, 0.1]"
1270400001274.0,"[0.22, 0.0, 0.01]"
1270800001278.0,"[0.22, 0.0, 0.054]"
1280000001280.0,"[0.22, 0.0, 0.101]"
1280400001284.0,"[0.22, 0.0, 0.093]"
1280800001288.0,"[0.22, 0.0, 0.131]"
1290000001290.0,"[0.22, 0.0, 0.13]"
1290400001294.0,"[0.22, 0.0, 0.13]"
1290800001298.0,"[0.22, 0.0, 0.109]"
1300000001300.0,"[0.22, 0.0, 0.104]"
1300400001304.0,"[0.22, 0.0, 0.133]"
1300800001308.0,"[0.22, 0.0, 0.162]"
1310000001310.0,"[0.22, 0.0, 0.156]"
1310400001314.0,"[0.22, 0.0, 0.143]"
1310800001318.0,"[0.22, 0.0, 0.12]"
1320000001320.0,"[0.22, 0.0, 0.1]"
1320400001324.0,"[0.22, 0.0, 0.097]"
1320800001328.0,"[0.22, 0.0, 0.103]"
1330000001330.0,"[0.22, 0.0, 0.088]"
1330400001334.0,"[0.22, 0.0, 0.165]"
1330800001338.0,"[0.22, 0.0, 0.129]"
1340000001340.0,"[0.22, 0.0, 0.128]"
1340400001344.0,"[0.22, 0.0, 0.081]"
1340800001348.0,"[0.22, 0.0, 0.019]"
1350000001350.0,"[0.22, 0.0, 0.008]"
1350400001354.0,"[0.22, 0.0, 0.014]"
1350800001358.0,"[0.22, 0.0, 0.0]"
1360000001360.0,"[0.22, 0.0, -0.009]"
1360400001364.0,"[0.22, 0.0, 0.035]"
1360800001368.0,"[0.22, 0.0, 0.046]"
1370000001370.0,"[0.22, 0.0, 0.08]"
1370400001374.0,"[0.22, 0.0, 0.025]"
1370800001378.0,"[0.22, 0.0, 0.006]"
1380000001380.0,"[0.22, 0.0, 0.02]"
1380400001384.0,"[0.22, 0.0, 0.033]"
1380800001388.0,"[0.22, 0.0, 0.028]"
1390000001390.0,"[0.22, 0.0, 0.01]"
1390400001394.0,"[0.22, 0.0, 0.02]"
1390800001398.0,"[0.22, 0.0, 0.046]"
1400000001400.0,"[0.22, 0.0, 0.033]"
1400400001404.0,"[0.22, 0.0, 0.048]"
1400800001408.0,"[0.22, 0.0, 0.063]"
1410000001410.0,"[0.22, 0.0, 0.08]"
1410400001414.0,"[0.22, 0.0, 0.104]"
1410800001418.0,"[0.22, 0.0, 0.083]"
1420000001420.0,"[0.22, 0.0, 0.073]"
1420400001424.0,"[0.22, 0.0, 0.079]"
1420800001428.0,"[0.22, 0.0, 0.093]"
1430000001430.0,"[0.22, 0.0, 0.11]"
1430400001434.0,"[0.22, 0.0, 0.115]"
1430800001438.0,"[0.22, 0.0, -0.523]"
1440000001440.0,"[0.22, 0.0, 0.078]"
1440400001444.0,"[0.22, 0.0, 0.267]"
1440800001448.0,"[0.22, 0.0, 0.204]"
1450000001450.0,"[0.22, 0.0, -0.618]"
1450400001454.0,"[0.22, 0.0, 0.362]"
1450800001458.0,"[0.22, 0.0, 0.359]"
1460000001460.0,"[0.22, 0.0, 0.359]"
1460400001464.0,"[0.22, 0.0, -0.619]"
1460800001468.0,"[0.22, 0.0, 0.38]"
1470000001470.0,"[0.22, 0.0, 0.416]"
1470400001474.0,"[0.22, 0.0, -0.458]"
1470800001478.0,"[0.22, 0.0, 0.365]"
1480000001480.0,"[0.22, 0.0, 0.343]"
1480400001484.0,"[0.22, 0.0, 0.283]"
1480800001488.0,"[0.22, 0.0, 0.351]"
1490000001490.0,"[0.22, 0.0, -1.794]"
1490400001494.0,"[0.22, 0.0, -1.919]"
1490800001498.0,"[0.22, 0.0, -1.877]"
1500000001500.0,"[0.22, 0.0, -1.556]"
1500400001504.0,"[0.22, 0.0, -0.882]"
1500800001508.0,"[0.22, 0.0, -0.483]"
1510000001510.0,"[0.22, 0.0, -0.448]"
1510400001514.0,"[0.22, 0.0, -0.353]"
1510800001518.0,"[0.22, 0.0, 0.229]"
1520000001520.0,"[0.22, 0.0, 0.217]"
1520400001524.0,"[0.22, 0.0, 0.174]"
1520800001528.0,"[0.22, 0.0, -0.264]"
1530000001530.0,"[0.22, 0.0, -0.363]"
1530400001534.0,"[0.22, 0.0, 0.131]"
