time,data
130000000130.0,"{'position': [13.441, -6.91, -1.927], 'velocity': [0.048, 0.141, -0.3]}"
130400000134.0,"{'position': [13.464, -6.857, -2.047], 'velocity': [0.062, 0.13, -0.3]}"
130800000138.0,"{'position': [13.492, -6.808, -2.167], 'velocity': [0.078, 0.123, -0.3]}"
140000000140.0,"{'position': [13.507, -6.786, -2.227], 'velocity': [0.078, 0.107, -0.3]}"
140400000144.0,"{'position': [13.541, -6.745, -2.347], 'velocity': [0.087, 0.094, -0.3]}"
140800000148.0,"{'position': [13.578, -6.711, -2.467], 'velocity': [0.094, 0.08, -0.3]}"
150000000150.0,"{'position': [13.594, -6.699, -2.527], 'velocity': [0.073, 0.055, -0.3]}"
150400000154.0,"{'position': [13.629, -6.676, -2.647], 'velocity': [0.069, 0.04, -0.3]}"
150800000158.0,"{'position': [13.672, -6.657, -2.797], 'velocity': [0.124, 0.049, -0.3]}"
160000000160.0,"{'position': [13.698, -6.648, -2.857], 'velocity': [0.127, 0.041, -0.3]}"
160400000164.0,"{'position': [13.722, -6.642, -2.947], 'velocity': [0.115, 0.026, -0.3]}"
160800000168.0,"{'position': [13.762, -6.636, -3.067], 'velocity': [0.08, 0.008, -0.3]}"
170000000170.0,"{'position': [13.789, -6.635, 3.126], 'velocity': [0.074, 0.001, -0.3]}"
170400000174.0,"{'position': [13.813, -6.636, 3.036], 'velocity': [0.105, -0.008, -0.3]}"
170800000178.0,"{'position': [13.844, -6.64, 2.916], 'velocity': [0.082, -0.016, -0.3]}"
180000000180.0,"{'position': [13.851, -6.642, 2.856], 'velocity': [0.034, -0.009, -0.3]}"
180400000184.0,"{'position': [13.844, -6.639, 2.736], 'velocity': [-0.109, 0.043, -0.3]}"
180800000188.0,"{'position': [13.811, -6.623, 2.616], 'velocity': [-0.051, 0.028, -0.3]}"
190000000190.0,"{'position': [13.79, -6.61, 2.556], 'velocity': [-0.105, 0.065, -0.3]}"
190400000194.0,"{'position': [13.759, -6.587, 2.436], 'velocity': [-0.09, 0.072, -0.3]}"
190800000198.0,"{'position': [13.726, -6.557, 2.328], 'velocity': [-0.091, 0.092, -0.236]}"
200000000200.0,"{'position': [13.709, -6.538, 2.281], 'velocity': [-0.086, 0.096, -0.236]}"
200400000204.0,"{'position': [13.675, -6.497, 2.191], 'velocity': [-0.086, 0.114, -0.218]}"
200800000208.0,"{'position': [13.644, -6.45, 2.108], 'velocity': [-0.076, 0.122, -0.205]}"
210000000210.0,"{'position': [13.629, -6.425, 2.067], 'velocity': [-0.073, 0.128, -0.204]}"
210400000214.0,"{'position': [13.602, -6.37, 1.993], 'velocity': [-0.066, 0.141, -0.131]}"
210800000218.0,"{'position': [13.57, -6.297, 1.98], 'velocity': [-0.065, 0.152, 0.062]}"
220000000220.0,"{'position': [13.557, -6.267, 1.993], 'velocity': [-0.066, 0.149, 0.067]}"
220400000224.0,"{'position': [13.537, -6.222, 1.979], 'velocity': [-0.066, 0.15, -0.046]}"
220800000228.0,"{'position': [13.512, -6.163, 1.991], 'velocity': [-0.066, 0.149, 0.063]}"
230000000230.0,"{'position': [13.498, -6.133, 2.0], 'velocity': [-0.068, 0.15, 0.047]}"
230400000234.0,"{'position': [13.472, -6.073, 1.994], 'velocity': [-0.067, 0.15, 0.05]}"
230800000238.0,"{'position': [13.445, -6.015, 1.999], 'velocity': [-0.066, 0.141, -0.079]}"
240000000240.0,"{'position': [13.432, -5.986, 1.98], 'velocity': [-0.063, 0.142, -0.101]}"
240400000244.0,"{'position': [13.407, -5.929, 1.986], 'velocity': [-0.063, 0.145, 0.066]}"
240800000248.0,"{'position': [13.381, -5.871, 1.993], 'velocity': [-0.066, 0.143, -0.087]}"
250000000250.0,"{'position': [13.369, -5.842, 1.975], 'velocity': [-0.063, 0.144, -0.087]}"
250400000254.0,"{'position': [13.344, -5.787, 1.988], 'velocity': [-0.062, 0.14, 0.013]}"
