time,data
130000000130.0,"{'position': [13.436, -6.866, -1.824], 'velocity': [0.043, 0.185, -0.22]}"
130400000134.0,"{'position': [13.458, -6.79, -1.924], 'velocity': [0.064, 0.189, -0.26]}"
130800000138.0,"{'position': [13.489, -6.716, -2.04], 'velocity': [0.085, 0.181, -0.3]}"
140000000140.0,"{'position': [13.508, -6.681, -2.1], 'velocity': [0.096, 0.176, -0.3]}"
140400000144.0,"{'position': [13.551, -6.614, -2.22], 'velocity': [0.116, 0.163, -0.3]}"
140800000148.0,"{'position': [13.602, -6.552, -2.34], 'velocity': [0.135, 0.148, -0.3]}"
150000000150.0,"{'position': [13.645, -6.51, -2.43], 'velocity': [0.147, 0.135, -0.3]}"
150400000154.0,"{'position': [13.692, -6.473, -2.52], 'velocity': [0.159, 0.121, -0.3]}"
150800000158.0,"{'position': [13.759, -6.429, -2.64], 'velocity': [0.172, 0.101, -0.3]}"
160000000160.0,"{'position': [13.794, -6.41, -2.7], 'velocity': [0.178, 0.091, -0.3]}"
160400000164.0,"{'position': [13.868, -6.379, -2.82], 'velocity': [0.188, 0.069, -0.3]}"
160800000168.0,"{'position': [13.945, -6.358, -2.94], 'velocity': [0.195, 0.046, -0.3]}"
170000000170.0,"{'position': [13.984, -6.35, -3.0], 'velocity': [0.197, 0.034, -0.3]}"
170400000174.0,"{'position': [14.064, -6.342, -3.12], 'velocity': [0.2, 0.01, -0.3]}"
170800000178.0,"{'position': [14.144, -6.344, 3.043], 'velocity': [0.2, -0.014, -0.3]}"
180000000180.0,"{'position': [14.184, -6.349, 2.983], 'velocity': [0.198, -0.026, -0.3]}"
180400000184.0,"{'position': [14.25, -6.362, 2.863], 'velocity': [0.155, -0.039, -0.3]}"
180800000188.0,"{'position': [14.296, -6.378, 2.743], 'velocity': [0.112, -0.043, -0.3]}"
190000000190.0,"{'position': [14.318, -6.387, 2.683], 'velocity': [0.109, -0.05, -0.3]}"
190400000194.0,"{'position': [14.346, -6.403, 2.563], 'velocity': [0.068, -0.042, -0.3]}"
190800000198.0,"{'position': [14.372, -6.421, 2.443], 'velocity': [0.063, -0.05, -0.3]}"
200000000200.0,"{'position': [14.384, -6.432, 2.383], 'velocity': [0.06, -0.053, -0.3]}"
200400000204.0,"{'position': [14.398, -6.446, 2.263], 'velocity': [0.026, -0.03, -0.3]}"
200800000208.0,"{'position': [14.398, -6.446, 2.133], 'velocity': [-0.0, 0.0, -0.26]}"
210000000210.0,"{'position': [14.398, -6.446, 2.081], 'velocity': [-0.0, 0.0, -0.26]}"
210400000214.0,"{'position': [14.394, -6.439, 1.985], 'velocity': [-0.017, 0.036, -0.22]}"
210800000218.0,"{'position': [14.39, -6.428, 1.919], 'velocity': [-0.014, 0.037, -0.22]}"
220000000220.0,"{'position': [14.386, -6.416, 1.854], 'velocity': [-0.012, 0.038, -0.22]}"
220400000224.0,"{'position': [14.381, -6.397, 1.796], 'velocity': [-0.019, 0.078, -0.18]}"
