time,data
540800000548.0,"[0.162, 0.0, -0.025]"
550000000550.0,"[0.155, 0.0, -0.059]"
550400000554.0,"[0.164, 0.0, 0.094]"
550800000558.0,"[0.161, 0.0, 0.064]"
560000000560.0,"[0.162, 0.0, -0.035]"
560400000564.0,"[0.16, 0.0, 0.058]"
560800000568.0,"[0.161, 0.0, -0.025]"
570000000570.0,"[0.161, 0.0, -0.078]"
570400000574.0,"[0.158, 0.0, 0.033]"
570800000578.0,"[0.16, 0.0, 0.028]"
580000000580.0,"[0.16, 0.0, -0.01]"
580400000584.0,"[0.16, 0.0, 0.041]"
580800000588.0,"[0.158, 0.0, -0.061]"
590000000590.0,"[0.162, 0.0, 0.019]"
590400000594.0,"[0.16, 0.0, -0.025]"
590800000598.0,"[0.159, 0.0, 0.05]"
600000000600.0,"[0.161, 0.0, -0.013]"
600400000604.0,"[0.161, 0.0, 0.038]"
600800000608.0,"[0.161, 0.0, -0.0]"
610000000610.0,"[0.161, 0.0, 0.03]"
610400000614.0,"[0.161, 0.0, -0.056]"
610800000618.0,"[0.16, 0.0, -0.013]"
620000000620.0,"[0.155, 0.0, 0.057]"
620400000624.0,"[0.153, 0.0, 0.001]"
620800000628.0,"[0.154, 0.0, -0.017]"
630000000630.0,"[0.154, 0.0, 0.032]"
630400000634.0,"[0.154, 0.0, -0.012]"
630800000638.0,"[0.154, 0.0, -0.004]"
640000000640.0,"[0.155, 0.0, -0.005]"
640400000644.0,"[0.15, 0.0, 0.013]"
640800000648.0,"[0.146, 0.0, -0.003]"
650000000650.0,"[0.149, 0.0, 0.004]"
650400000654.0,"[0.149, 0.0, 0.007]"
650800000658.0,"[0.15, 0.0, -0.079]"
660000000660.0,"[0.148, 0.0, -0.08]"
660400000664.0,"[0.15, 0.0, 0.0]"
660800000668.0,"[0.152, 0.0, -0.075]"
670000000670.0,"[0.16, 0.0, 0.06]"
670400000674.0,"[0.153, 0.0, -0.067]"
670800000678.0,"[0.158, 0.0, 0.065]"
680000000680.0,"[0.161, 0.0, 0.073]"
680400000684.0,"[0.153, 0.0, -0.026]"
680800000688.0,"[0.153, 0.0, -0.02]"
690000000690.0,"[0.153, 0.0, -0.015]"
690400000694.0,"[0.163, 0.0, -0.007]"
690800000698.0,"[0.156, 0.0, 0.061]"
700000000700.0,"[0.165, 0.0, 0.007]"
700400000704.0,"[0.167, 0.0, 0.148]"
700800000708.0,"[0.163, 0.0, 0.016]"
710000000710.0,"[0.164, 0.0, 0.001]"
710400000714.0,"[0.158, 0.0, -0.002]"
710800000718.0,"[0.154, 0.0, 0.073]"
720000000720.0,"[0.155, 0.0, -0.003]"
720400000724.0,"[0.155, 0.0, 0.124]"
720800000728.0,"[0.151, 0.0, 0.006]"
730000000730.0,"[0.152, 0.0, 0.121]"
730400000734.0,"[0.151, 0.0, 0.086]"
730800000738.0,"[0.148, 0.0, 0.024]"
740000000740.0,"[0.148, 0.0, 0.042]"
740400000744.0,"[0.147, 0.0, -0.006]"
740800000748.0,"[0.145, 0.0, 0.008]"
750000000750.0,"[0.146, 0.0, 0.046]"
750400000754.0,"[0.145, 0.0, -0.029]"
750800000758.0,"[0.144, 0.0, 0.023]"
760000000760.0,"[0.141, 0.0, 0.021]"
760400000764.0,"[0.149, 0.0, -0.075]"
760800000768.0,"[0.151, 0.0, 0.046]"
770000000770.0,"[0.144, 0.0, -0.005]"
770400000774.0,"[0.143, 0.0, -0.041]"
770800000778.0,"[0.124, 0.0, 0.017]"
780000000780.0,"[0.145, 0.0, 0.059]"
780400000784.0,"[0.144, 0.0, -0.001]"
780800000788.0,"[0.142, 0.0, 0.009]"
790000000790.0,"[0.144, 0.0, 0.005]"
790400000794.0,"[0.145, 0.0, 0.007]"
790800000798.0,"[0.144, 0.0, -0.094]"
800000000800.0,"[0.144, 0.0, 0.058]"
800400000804.0,"[0.144, 0.0, -0.072]"
800800000808.0,"[0.142, 0.0, 0.104]"
810000000810.0,"[0.145, 0.0, 0.107]"
810400000814.0,"[0.143, 0.0, -0.031]"
810800000818.0,"[0.147, 0.0, -0.197]"
820000000820.0,"[0.146, 0.0, -0.172]"
820400000824.0,"[0.144, 0.0, -0.239]"
820800000828.0,"[-0.099, 0.0, -0.3]"
830000000830.0,"[-0.086, 0.0, -0.3]"
830400000834.0,"[0.161, 0.0, -0.3]"
830800000838.0,"[-0.106, 0.0, -0.3]"
840000000840.0,"[-0.059, 0.0, -0.065]"
840400000844.0,"[-0.148, 0.0, 0.213]"
840800000848.0,"[-0.137, 0.0, 0.279]"
850000000850.0,"[-0.131, 0.0, 0.3]"
850400000854.0,"[-0.129, 0.0, 0.3]"
850800000858.0,"[-0.119, 0.0, 0.3]"
860000000860.0,"[-0.104, 0.0, 0.3]"
860400000864.0,"[-0.091, 0.0, 0.3]"
860800000868.0,"[-0.095, 0.0, 0.3]"
870000000870.0,"[-0.079, 0.0, 0.3]"
870400000874.0,"[0.043, 0.0, 0.3]"
870800000878.0,"[-0.015, 0.0, 0.098]"
880000000880.0,"[-0.155, 0.0, -0.072]"
880400000884.0,"[-0.033, 0.0, -0.217]"
880800000888.0,"[-0.044, 0.0, -0.3]"
890000000890.0,"[-0.111, 0.0, -0.3]"
890400000894.0,"[-0.117, 0.0, -0.3]"
890800000898.0,"[-0.068, 0.0, -0.3]"
900000000900.0,"[0.03, 0.0, -0.3]"
900400000904.0,"[0.132, 0.0, -0.3]"
900800000908.0,"[0.097, 0.0, -0.3]"
910000000910.0,"[0.101, 0.0, -0.3]"
910400000914.0,"[0.13, 0.0, -0.269]"
910800000918.0,"[0.139, 0.0, -0.259]"
920000000920.0,"[0.152, 0.0, -0.254]"
920400000924.0,"[0.166, 0.0, -0.247]"
920800000928.0,"[-0.053, 0.0, 0.01]"
930000000930.0,"[-0.162, 0.0, 0.133]"
930400000934.0,"[-0.173, 0.0, 0.3]"
930800000938.0,"[-0.159, 0.0, 0.3]"
940000000940.0,"[-0.148, 0.0, 0.3]"
940400000944.0,"[-0.14, 0.0, 0.3]"
940800000948.0,"[-0.129, 0.0, 0.3]"
950000000950.0,"[-0.121, 0.0, 0.3]"
950400000954.0,"[-0.1, 0.0, 0.3]"
950800000958.0,"[-0.036, 0.0, 0.3]"
960000000960.0,"[0.07, 0.0, 0.3]"
960400000964.0,"[0.075, 0.0, 0.3]"
960800000968.0,"[0.088, 0.0, 0.3]"
970000000970.0,"[0.088, 0.0, 0.3]"
970400000974.0,"[0.088, 0.0, 0.3]"
970800000978.0,"[0.091, 0.0, 0.3]"
980000000980.0,"[0.094, 0.0, 0.298]"
980400000984.0,"[0.097, 0.0, 0.207]"
980800000988.0,"[0.112, 0.0, 0.225]"
990000000990.0,"[0.105, 0.0, 0.235]"
990400000994.0,"[0.105, 0.0, 0.158]"
990800000998.0,"[0.127, 0.0, 0.044]"
1000000001000.0,"[0.127, 0.0, 0.044]"
1000400001004.0,"[0.111, 0.0, -0.095]"
1000800001008.0,"[0.02, 0.0, -0.098]"
1010000001010.0,"[0.105, 0.0, -0.083]"
1010400001014.0,"[0.029, 0.0, -0.043]"
1010800001018.0,"[0.079, 0.0, -0.073]"
1020000001020.0,"[0.045, 0.0, -0.094]"
1020400001024.0,"[0.035, 0.0, -0.075]"
1020800001028.0,"[0.084, 0.0, -0.075]"
1030000001030.0,"[0.117, 0.0, 0.061]"
1030400001034.0,"[0.088, 0.0, 0.194]"
1030800001038.0,"[0.101, 0.0, 0.174]"
1040000001040.0,"[0.109, 0.0, 0.087]"
1040400001044.0,"[0.11, 0.0, -0.061]"
1040800001048.0,"[0.119, 0.0, -0.2]"
1050000001050.0,"[0.102, 0.0, -0.201]"
1050400001054.0,"[0.095, 0.0, -0.193]"
1050800001058.0,"[0.133, 0.0, -0.15]"
1060000001060.0,"[0.098, 0.0, -0.112]"
1060400001064.0,"[0.105, 0.0, -0.005]"
1060800001068.0,"[0.129, 0.0, -0.017]"
1070000001070.0,"[0.089, 0.0, -0.07]"
1070400001074.0,"[0.123, 0.0, -0.084]"
1070800001078.0,"[0.096, 0.0, -0.069]"
1080000001080.0,"[0.145, 0.0, -0.113]"
1080400001084.0,"[0.096, 0.0, -0.051]"
1080800001088.0,"[0.144, 0.0, -0.12]"
1090000001090.0,"[0.119, 0.0, -0.071]"
1090400001094.0,"[0.111, 0.0, -0.108]"
1090800001098.0,"[0.147, 0.0, -0.109]"
