time,data
530400000534.0,"[0.15, 0.0, -0.09]"
530800000538.0,"[0.15, 0.0, -0.09]"
540000000540.0,"[0.157, 0.0, 0.049]"
540400000544.0,"[0.157, 0.0, 0.049]"
540800000548.0,"[0.157, 0.0, 0.049]"
550000000550.0,"[0.131, 0.0, -0.057]"
550400000554.0,"[0.167, 0.0, 0.098]"
550800000558.0,"[0.167, 0.0, 0.098]"
560000000560.0,"[0.142, 0.0, -0.074]"
560400000564.0,"[0.142, 0.0, -0.074]"
560800000568.0,"[0.142, 0.0, -0.074]"
570000000570.0,"[0.142, 0.0, -0.074]"
570400000574.0,"[0.163, 0.0, 0.0]"
570800000578.0,"[0.163, 0.0, 0.0]"
580000000580.0,"[0.133, 0.0, 0.008]"
580400000584.0,"[0.15, 0.0, 0.016]"
580800000588.0,"[0.15, 0.0, 0.016]"
590000000590.0,"[0.159, 0.0, -0.025]"
590400000594.0,"[0.159, 0.0, -0.025]"
590800000598.0,"[0.159, 0.0, -0.025]"
600000000600.0,"[0.155, 0.0, 0.016]"
600400000604.0,"[0.155, 0.0, 0.016]"
600800000608.0,"[0.155, 0.0, 0.016]"
610000000610.0,"[0.156, 0.0, 0.025]"
610400000614.0,"[0.156, 0.0, 0.025]"
610800000618.0,"[0.156, 0.0, 0.025]"
620000000620.0,"[0.153, 0.0, 0.066]"
620400000624.0,"[0.153, 0.0, -0.09]"
620800000628.0,"[0.153, 0.0, -0.09]"
630000000630.0,"[0.156, 0.0, -0.082]"
630400000634.0,"[0.158, 0.0, -0.025]"
630800000638.0,"[0.158, 0.0, -0.025]"
640000000640.0,"[0.158, 0.0, -0.025]"
640400000644.0,"[0.161, 0.0, 0.066]"
640800000648.0,"[0.161, 0.0, 0.066]"
650000000650.0,"[0.161, 0.0, 0.066]"
650400000654.0,"[0.152, 0.0, 0.008]"
650800000658.0,"[0.152, 0.0, 0.008]"
660000000660.0,"[0.155, 0.0, -0.033]"
660400000664.0,"[0.154, 0.0, -0.008]"
660800000668.0,"[0.154, 0.0, -0.008]"
670000000670.0,"[0.154, 0.0, -0.008]"
670400000674.0,"[0.156, 0.0, -0.049]"
670800000678.0,"[0.156, 0.0, -0.049]"
680000000680.0,"[0.156, 0.0, -0.049]"
680400000684.0,"[0.16, 0.0, -0.008]"
680800000688.0,"[0.16, 0.0, -0.008]"
690000000690.0,"[0.159, 0.0, 0.066]"
690400000694.0,"[0.158, 0.0, -0.041]"
690800000698.0,"[0.158, 0.0, -0.041]"
700000000700.0,"[0.159, 0.0, 0.148]"
700400000704.0,"[0.159, 0.0, 0.148]"
700800000708.0,"[0.159, 0.0, 0.148]"
710000000710.0,"[0.159, 0.0, 0.148]"
710400000714.0,"[0.143, 0.0, -0.008]"
710800000718.0,"[0.143, 0.0, -0.008]"
720000000720.0,"[0.13, 0.0, -0.115]"
720400000724.0,"[0.13, 0.0, -0.115]"
720800000728.0,"[0.13, 0.0, -0.115]"
730000000730.0,"[0.13, 0.0, -0.115]"
730400000734.0,"[0.173, 0.0, 0.09]"
730800000738.0,"[0.173, 0.0, 0.09]"
740000000740.0,"[0.146, 0.0, 0.115]"
740400000744.0,"[0.146, 0.0, 0.115]"
740800000748.0,"[0.146, 0.0, 0.115]"
750000000750.0,"[0.146, 0.0, 0.115]"
750400000754.0,"[0.145, 0.0, 0.041]"
750800000758.0,"[0.145, 0.0, 0.041]"
760000000760.0,"[0.145, 0.0, 0.041]"
760400000764.0,"[0.141, 0.0, -0.098]"
760800000768.0,"[0.141, 0.0, -0.098]"
770000000770.0,"[0.141, 0.0, -0.098]"
770400000774.0,"[0.133, 0.0, 0.025]"
770800000778.0,"[0.133, 0.0, 0.025]"
780000000780.0,"[0.159, 0.0, 0.0]"
780400000784.0,"[0.159, 0.0, 0.0]"
780800000788.0,"[0.159, 0.0, 0.0]"
790000000790.0,"[0.159, 0.0, 0.0]"
790400000794.0,"[0.141, 0.0, -0.32]"
790800000798.0,"[0.141, 0.0, -0.32]"
800000000800.0,"[0.171, 0.117, -0.148]"
800400000804.0,"[0.152, 0.152, -0.09]"
800800000808.0,"[0.152, 0.152, -0.09]"
810000000810.0,"[0.147, 0.14, 0.016]"
810400000814.0,"[0.147, 0.14, 0.016]"
810800000818.0,"[0.147, 0.14, 0.016]"
820000000820.0,"[0.193, 0.0, 0.304]"
820400000824.0,"[0.193, 0.0, 0.304]"
820800000828.0,"[0.193, 0.0, 0.304]"
830000000830.0,"[0.134, 0.0, 0.066]"
830400000834.0,"[0.134, 0.0, 0.066]"
830800000838.0,"[0.134, 0.0, 0.066]"
840000000840.0,"[0.158, 0.0, -0.041]"
840400000844.0,"[0.141, 0.0, 0.0]"
840800000848.0,"[0.141, 0.0, 0.0]"
850000000850.0,"[0.153, 0.0, -0.041]"
850400000854.0,"[0.146, 0.0, -0.115]"
850800000858.0,"[0.146, 0.0, -0.115]"
860000000860.0,"[0.157, 0.0, -0.435]"
860400000864.0,"[0.157, 0.0, -0.435]"
860800000868.0,"[0.157, 0.0, -0.435]"
870000000870.0,"[0.157, 0.0, -0.435]"
870400000874.0,"[0.214, 0.0, -0.164]"
870800000878.0,"[0.214, 0.0, -0.164]"
880000000880.0,"[0.127, 0.0, 0.156]"
880400000884.0,"[0.127, 0.0, 0.156]"
880800000888.0,"[0.127, 0.0, 0.156]"
890000000890.0,"[0.127, 0.0, 0.156]"
890400000894.0,"[0.22, 0.0, 0.427]"
890800000898.0,"[0.22, 0.0, 0.427]"
900000000900.0,"[0.172, 0.0, 0.254]"
900400000904.0,"[0.172, 0.0, 0.254]"
900800000908.0,"[0.172, 0.0, 0.254]"
910000000910.0,"[0.172, 0.0, 0.254]"
910400000914.0,"[0.133, 0.0, -0.049]"
910800000918.0,"[0.133, 0.0, -0.049]"
920000000920.0,"[0.133, 0.0, -0.049]"
920400000924.0,"[0.158, 0.097, -0.107]"
920800000928.0,"[0.158, 0.097, -0.107]"
930000000930.0,"[0.149, 0.0, 0.049]"
930400000934.0,"[0.149, 0.0, 0.049]"
930800000938.0,"[0.149, 0.0, 0.049]"
940000000940.0,"[0.149, 0.0, 0.049]"
940400000944.0,"[0.153, 0.0, 0.09]"
940800000948.0,"[0.153, 0.0, 0.09]"
950000000950.0,"[0.143, 0.0, -0.049]"
950400000954.0,"[0.143, 0.0, -0.049]"
950800000958.0,"[0.143, 0.0, -0.049]"
960000000960.0,"[0.152, 0.0, 0.041]"
960400000964.0,"[0.152, 0.0, 0.041]"
960800000968.0,"[0.152, 0.0, 0.041]"
970000000970.0,"[0.152, 0.0, 0.041]"
970400000974.0,"[0.143, 0.0, 0.016]"
970800000978.0,"[0.143, 0.0, 0.016]"
980000000980.0,"[0.147, 0.0, 0.025]"
980400000984.0,"[0.147, 0.0, 0.025]"
980800000988.0,"[0.147, 0.0, 0.025]"
990000000990.0,"[0.142, 0.0, 0.0]"
990400000994.0,"[0.142, 0.0, 0.0]"
990800000998.0,"[0.142, 0.0, 0.0]"
1000000001000.0,"[0.145, 0.0, -0.025]"
1000400001004.0,"[0.144, 0.0, -0.115]"
1000800001008.0,"[0.144, 0.0, -0.115]"
1010000001010.0,"[0.149, 0.0, 0.041]"
1010400001014.0,"[0.149, 0.0, 0.041]"
1010800001018.0,"[0.149, 0.0, 0.041]"
1020000001020.0,"[0.149, 0.0, 0.041]"
1020400001024.0,"[0.145, 0.0, -0.033]"
1020800001028.0,"[0.145, 0.0, -0.033]"
1030000001030.0,"[0.148, 0.0, 0.041]"
1030400001034.0,"[0.148, 0.0, 0.041]"
1030800001038.0,"[0.148, 0.0, 0.041]"
1040000001040.0,"[0.143, 0.0, -0.0]"
1040400001044.0,"[0.143, 0.0, -0.0]"
1040800001048.0,"[0.143, 0.0, -0.0]"
1050000001050.0,"[0.143, 0.0, -0.0]"
1050400001054.0,"[0.146, 0.0, -0.041]"
1050800001058.0,"[0.146, 0.0, -0.041]"
1060000001060.0,"[0.126, 0.0, -0.0]"
1060400001064.0,"[0.126, 0.0, -0.0]"
1060800001068.0,"[0.126, 0.0, -0.0]"
1070000001070.0,"[0.126, 0.0, -0.0]"
1070400001074.0,"[0.16, 0.0, -0.025]"
1070800001078.0,"[0.16, 0.0, -0.025]"
1080000001080.0,"[0.137, 0.0, -0.0]"
1080400001084.0,"[0.154, 0.0, -0.008]"
1080800001088.0,"[0.154, 0.0, -0.008]"
1090000001090.0,"[0.143, 0.0, 0.016]"
1090400001094.0,"[0.15, 0.0, 0.008]"
1090800001098.0,"[0.15, 0.0, 0.008]"
1100000001100.0,"[0.144, 0.0, -0.0]"
1100400001104.0,"[0.144, 0.0, -0.0]"
1100800001108.0,"[0.144, 0.0, -0.0]"
1110000001110.0,"[0.144, 0.0, -0.0]"
1110400001114.0,"[0.129, 0.0, 0.025]"
1110800001118.0,"[0.129, 0.0, 0.025]"
1120000001120.0,"[0.158, 0.0, -0.016]"
1120400001124.0,"[0.158, 0.0, -0.016]"
1120800001128.0,"[0.158, 0.0, -0.016]"
1130000001130.0,"[0.158, 0.0, -0.016]"
1130400001134.0,"[0.139, 0.0, -0.008]"
1130800001138.0,"[0.139, 0.0, -0.008]"
1140000001140.0,"[0.153, 0.0, -0.049]"
1140400001144.0,"[0.153, 0.0, -0.049]"
1140800001148.0,"[0.153, 0.0, -0.049]"
1150000001150.0,"[0.153, 0.0, -0.049]"
1150400001154.0,"[0.149, 0.0, 0.041]"
1150800001158.0,"[0.149, 0.0, 0.041]"
1160000001160.0,"[0.149, 0.0, 0.041]"
1160400001164.0,"[0.149, 0.0, -0.082]"
1160800001168.0,"[0.149, 0.0, -0.082]"
1170000001170.0,"[0.154, 0.0, 0.057]"
1170400001174.0,"[0.151, 0.0, 0.016]"
1170800001178.0,"[0.151, 0.0, 0.016]"
1180000001180.0,"[0.151, 0.0, -0.008]"
1180400001184.0,"[0.151, 0.0, -0.008]"
1180800001188.0,"[0.151, 0.0, -0.008]"
1190000001190.0,"[0.152, 0.0, 0.082]"
1190400001194.0,"[0.152, 0.0, 0.082]"
1190800001198.0,"[0.152, 0.0, 0.082]"
1200000001200.0,"[0.144, 0.0, -0.172]"
1200400001204.0,"[0.144, 0.0, -0.172]"
1200800001208.0,"[0.144, 0.0, -0.172]"
1210000001210.0,"[0.162, 0.0, 0.115]"
1210400001214.0,"[0.153, 0.0, -0.041]"
1210800001218.0,"[0.153, 0.0, -0.041]"
1220000001220.0,"[0.153, 0.0, -0.041]"
1220400001224.0,"[0.158, 0.0, 0.049]"
1220800001228.0,"[0.158, 0.0, 0.049]"
1230000001230.0,"[0.153, 0.0, -0.025]"
1230400001234.0,"[0.153, 0.0, -0.025]"
1230800001238.0,"[0.153, 0.0, -0.025]"
1240000001240.0,"[0.157, 0.0, 0.082]"
1240400001244.0,"[0.157, 0.0, 0.082]"
1240800001248.0,"[0.157, 0.0, 0.082]"
1250000001250.0,"[0.157, 0.0, 0.082]"
1250400001254.0,"[0.145, 0.0, 0.025]"
1250800001258.0,"[0.145, 0.0, 0.025]"
1260000001260.0,"[0.15, 0.0, 0.033]"
1260400001264.0,"[0.15, 0.0, 0.033]"
1260800001268.0,"[0.15, 0.0, 0.033]"
1270000001270.0,"[0.124, 0.0, 0.025]"
1270400001274.0,"[0.161, 0.0, 0.082]"
1270800001278.0,"[0.161, 0.0, 0.082]"
1280000001280.0,"[0.161, 0.0, 0.082]"
1280400001284.0,"[0.127, 0.0, -0.025]"
1280800001288.0,"[0.127, 0.0, -0.025]"
1290000001290.0,"[0.127, 0.0, -0.025]"
1290400001294.0,"[0.133, 0.082, 0.197]"
1290800001298.0,"[0.133, 0.082, 0.197]"
1300000001300.0,"[0.121, 0.076, 0.271]"
1300400001304.0,"[0.121, 0.076, 0.271]"
1300800001308.0,"[0.121, 0.076, 0.271]"
1310000001310.0,"[0.121, 0.076, 0.271]"
1310400001314.0,"[0.134, 0.035, 0.427]"
1310800001318.0,"[0.134, 0.035, 0.427]"
1320000001320.0,"[0.116, 0.0, 0.353]"
1320400001324.0,"[0.116, 0.0, 0.353]"
1320800001328.0,"[0.116, 0.0, 0.353]"
1330000001330.0,"[-0.201, -0.043, 0.246]"
1330400001334.0,"[0.112, 0.0, -0.074]"
1330800001338.0,"[0.112, 0.0, -0.074]"
1340000001340.0,"[-0.122, -0.056, -0.394]"
1340400001344.0,"[-0.122, -0.056, -0.394]"
1340800001348.0,"[-0.122, -0.056, -0.394]"
1350000001350.0,"[0.202, 0.0, -0.714]"
1350400001354.0,"[0.202, 0.0, -0.714]"
1350800001358.0,"[0.202, 0.0, -0.714]"
1360000001360.0,"[-0.086, 0.076, -0.591]"
