time,data
130400000134.0,
130800000138.0,
140000000140.0,
140400000144.0,
140800000148.0,
150000000150.0,
150400000154.0,
150800000158.0,
160000000160.0,"[0.22, 0.0, -1.791]"
160400000164.0,"[0.22, 0.0, -1.863]"
160800000168.0,"[0.22, 0.0, -1.569]"
170000000170.0,"[0.22, 0.0, -1.374]"
170400000174.0,"[0.22, 0.0, -0.717]"
170800000178.0,"[0.22, 0.0, -0.555]"
180000000180.0,"[0.22, 0.0, -0.555]"
180400000184.0,"[0.22, 0.0, -0.443]"
180800000188.0,"[0.22, 0.0, -0.334]"
190000000190.0,"[0.22, 0.0, 0.117]"
190400000194.0,"[0.22, 0.0, 0.162]"
190800000198.0,"[0.22, 0.0, 0.153]"
200000000200.0,"[0.22, 0.0, -0.259]"
200400000204.0,"[0.22, 0.0, 0.135]"
200800000208.0,"[0.22, 0.0, 0.141]"
210000000210.0,"[0.22, 0.0, -0.206]"
210400000214.0,"[0.22, 0.0, 0.141]"
210800000218.0,"[0.22, 0.0, 0.145]"
220000000220.0,"[0.22, 0.0, -0.098]"
220400000224.0,"[0.22, 0.0, -0.15]"
220800000228.0,"[0.22, 0.0, 0.167]"
230000000230.0,"[0.22, 0.0, 0.163]"
230400000234.0,"[0.22, 0.0, -0.097]"
230800000238.0,"[0.22, 0.0, -0.078]"
240000000240.0,"[0.22, 0.0, 0.108]"
240400000244.0,"[0.22, 0.0, 0.129]"
240800000248.0,"[0.22, 0.0, -0.091]"
250000000250.0,"[0.22, 0.0, -0.063]"
250400000254.0,"[0.22, 0.0, 0.128]"
250800000258.0,"[0.22, 0.0, -0.023]"
260000000260.0,"[0.22, 0.0, -0.032]"
260400000264.0,"[0.22, 0.0, -0.014]"
260800000268.0,"[0.22, 0.0, 0.005]"
270000000270.0,"[0.22, 0.0, 0.009]"
270400000274.0,"[0.22, 0.0, -0.01]"
270800000278.0,"[0.22, 0.0, -0.028]"
280000000280.0,"[0.22, 0.0, -0.026]"
280400000284.0,"[0.22, 0.0, -0.043]"
280800000288.0,"[0.22, 0.0, -0.017]"
290000000290.0,"[0.22, 0.0, -0.075]"
290400000294.0,"[0.22, 0.0, -0.067]"
290800000298.0,"[0.22, 0.0, 0.21]"
300000000300.0,"[0.22, 0.0, -0.096]"
300400000304.0,"[0.22, 0.0, -0.108]"
300800000308.0,"[0.22, 0.0, -0.083]"
310000000310.0,"[0.22, 0.0, 0.216]"
310400000314.0,"[0.22, 0.0, -0.019]"
310800000318.0,"[0.22, 0.0, -0.076]"
320000000320.0,"[0.22, 0.0, -0.101]"
320400000324.0,"[0.22, 0.0, 0.167]"
320800000328.0,"[0.22, 0.0, -0.027]"
330000000330.0,"[0.22, 0.0, -0.062]"
330400000334.0,"[0.22, 0.0, -0.017]"
330800000338.0,"[0.22, 0.0, -0.044]"
340000000340.0,"[0.22, 0.0, -0.028]"
340400000344.0,"[0.22, 0.0, 0.203]"
340800000348.0,"[0.22, 0.0, -0.03]"
350000000350.0,"[0.22, 0.0, -0.052]"
350400000354.0,"[0.22, 0.0, -0.022]"
350800000358.0,"[0.22, 0.0, -0.001]"
360000000360.0,"[0.22, 0.0, -0.003]"
360400000364.0,"[0.22, 0.0, -0.014]"
360800000368.0,"[0.22, 0.0, -0.021]"
370000000370.0,"[0.22, 0.0, -0.016]"
370400000374.0,"[0.22, 0.0, -0.04]"
370800000378.0,"[0.22, 0.0, -0.024]"
380000000380.0,"[0.22, 0.0, 0.063]"
380400000384.0,"[0.22, 0.0, -0.049]"
380800000388.0,"[0.22, 0.0, -0.065]"
390000000390.0,"[0.22, 0.0, 0.046]"
390400000394.0,"[0.22, 0.0, 0.074]"
390800000398.0,"[0.22, 0.0, -0.124]"
400000000400.0,"[0.22, 0.0, 0.033]"
400400000404.0,"[0.22, 0.0, 0.062]"
400800000408.0,"[0.22, 0.0, 0.053]"
410000000410.0,"[0.22, 0.0, 0.011]"
410400000414.0,"[0.22, 0.0, 0.046]"
410800000418.0,"[0.22, 0.0, 0.031]"
420000000420.0,"[0.22, 0.0, -0.134]"
420400000424.0,"[0.22, 0.0, 0.0]"
420800000428.0,"[0.22, 0.0, 0.028]"
430000000430.0,"[0.22, 0.0, 0.006]"
430400000434.0,"[0.22, 0.0, -0.018]"
430800000438.0,"[0.22, 0.0, -0.02]"
440000000440.0,"[0.22, 0.0, -0.037]"
440400000444.0,"[0.22, 0.0, -0.034]"
440800000448.0,"[0.22, 0.0, -0.068]"
450000000450.0,"[0.22, 0.0, -0.069]"
450400000454.0,"[0.22, 0.0, -0.06]"
450800000458.0,"[0.22, 0.0, -0.093]"
460000000460.0,"[0.22, 0.0, -0.092]"
460400000464.0,"[0.22, 0.0, -0.056]"
460800000468.0,"[0.22, 0.0, 0.002]"
470000000470.0,"[0.22, 0.0, 0.004]"
470400000474.0,"[0.22, 0.0, -0.029]"
470800000478.0,"[0.22, 0.0, -0.036]"
480000000480.0,"[0.22, 0.0, -0.036]"
480400000484.0,"[0.22, 0.0, -0.038]"
480800000488.0,"[0.22, 0.0, -0.066]"
490000000490.0,"[0.22, 0.0, -0.082]"
490400000494.0,"[0.22, 0.0, -0.03]"
490800000498.0,"[0.22, 0.0, -0.047]"
500000000500.0,"[0.22, 0.0, 0.086]"
500400000504.0,"[0.22, 0.0, 0.058]"
500800000508.0,"[0.22, 0.0, 0.029]"
510000000510.0,"[0.22, 0.0, 0.045]"
510400000514.0,"[0.22, 0.0, -0.013]"
510800000518.0,"[0.22, 0.0, -0.12]"
520000000520.0,"[0.22, 0.0, -0.118]"
520400000524.0,"[0.22, 0.0, -0.039]"
520800000528.0,"[0.22, 0.0, -0.009]"
530000000530.0,"[0.22, 0.0, 0.055]"
530400000534.0,"[0.22, 0.0, 0.035]"
530800000538.0,"[0.22, 0.0, 0.163]"
540000000540.0,"[0.22, 0.0, 0.141]"
540400000544.0,"[0.22, 0.0, 0.121]"
540800000548.0,"[0.22, 0.0, 0.093]"
550000000550.0,"[0.22, 0.0, 0.074]"
550400000554.0,"[0.22, 0.0, 0.039]"
550800000558.0,"[0.22, 0.0, 0.038]"
560000000560.0,"[0.22, 0.0, 0.03]"
560400000564.0,"[0.22, 0.0, 0.032]"
560800000568.0,"[0.22, 0.0, 0.098]"
570000000570.0,"[0.22, 0.0, 0.092]"
570400000574.0,"[0.22, 0.0, 0.118]"
570800000578.0,"[0.22, 0.0, 0.094]"
580000000580.0,"[0.22, 0.0, 0.112]"
580400000584.0,"[0.22, 0.0, 0.082]"
580800000588.0,"[0.22, 0.0, 0.082]"
590000000590.0,"[0.22, 0.0, 0.069]"
590400000594.0,"[0.22, 0.0, 0.088]"
590800000598.0,"[0.22, 0.0, 0.061]"
600000000600.0,"[0.22, 0.0, 0.063]"
600400000604.0,"[0.22, 0.0, 0.094]"
600800000608.0,"[0.22, 0.0, 0.093]"
610000000610.0,"[0.22, 0.0, 0.085]"
610400000614.0,"[0.22, 0.0, 0.064]"
610800000618.0,"[0.22, 0.0, 0.072]"
620000000620.0,"[0.22, 0.0, 0.072]"
620400000624.0,"[0.22, 0.0, -0.054]"
620800000628.0,"[0.22, 0.0, -0.043]"
630000000630.0,"[0.22, 0.0, -0.048]"
630400000634.0,"[0.22, 0.0, 0.078]"
630800000638.0,"[0.22, 0.0, -0.004]"
640000000640.0,"[0.22, 0.0, -0.01]"
640400000644.0,"[0.22, 0.0, -0.013]"
640800000648.0,"[0.22, 0.0, -0.005]"
650000000650.0,"[0.22, 0.0, -0.003]"
650400000654.0,"[0.22, 0.0, 0.005]"
650800000658.0,"[0.22, 0.0, -0.004]"
660000000660.0,"[0.22, 0.0, 0.005]"
660400000664.0,"[0.22, 0.0, -0.002]"
660800000668.0,"[0.22, 0.0, -0.034]"
670000000670.0,"[0.22, 0.0, -0.037]"
670400000674.0,"[0.22, 0.0, -0.034]"
670800000678.0,"[0.22, 0.0, 0.054]"
680000000680.0,"[0.22, 0.0, -0.028]"
680400000684.0,"[0.22, 0.0, -0.055]"
680800000688.0,"[0.22, 0.0, 0.028]"
690000000690.0,"[0.22, 0.0, 0.028]"
690400000694.0,"[0.22, 0.0, 0.042]"
690800000698.0,"[0.22, 0.0, 0.063]"
700000000700.0,"[0.22, 0.0, -0.022]"
700400000704.0,"[0.22, 0.0, -0.031]"
700800000708.0,"[0.22, 0.0, -0.028]"
710000000710.0,"[0.22, 0.0, -0.004]"
710400000714.0,"[0.22, 0.0, -0.025]"
710800000718.0,"[0.22, 0.0, 0.11]"
720000000720.0,"[0.22, 0.0, -0.016]"
