time,data
130000000130.0,"[-0.145, 0.0, -0.3]"
130400000134.0,"[-0.139, 0.0, -0.3]"
130800000138.0,"[-0.133, 0.0, -0.3]"
140000000140.0,"[-0.136, 0.0, -0.3]"
140400000144.0,"[-0.128, 0.0, -0.3]"
140800000148.0,"[-0.091, 0.0, -0.3]"
150000000150.0,"[-0.123, 0.0, -0.3]"
150400000154.0,"[-0.073, 0.0, -0.3]"
150800000158.0,"[-0.133, 0.0, -0.3]"
160000000160.0,"[-0.066, 0.0, -0.3]"
160400000164.0,"[-0.13, 0.0, -0.3]"
160800000168.0,"[-0.099, 0.0, -0.3]"
170000000170.0,"[-0.065, 0.0, -0.3]"
170400000174.0,"[-0.065, 0.0, -0.3]"
170800000178.0,"[-0.035, 0.0, -0.3]"
180000000180.0,"[-0.035, 0.0, -0.3]"
180400000184.0,"[0.134, 0.0, -0.3]"
180800000188.0,"[0.124, 0.0, -0.3]"
190000000190.0,"[0.078, 0.0, -0.3]"
190400000194.0,"[0.1, 0.0, -0.275]"
190800000198.0,"[0.129, 0.0, -0.236]"
200000000200.0,"[0.123, 0.0, -0.225]"
200400000204.0,"[0.136, 0.0, -0.207]"
200800000208.0,"[0.147, 0.0, -0.204]"
210000000210.0,"[0.155, 0.0, -0.201]"
210400000214.0,"[0.155, 0.0, -0.088]"
210800000218.0,"[0.163, 0.0, 0.067]"
220000000220.0,"[0.163, 0.0, -0.048]"
220400000224.0,"[0.16, 0.0, 0.053]"
220800000228.0,"[0.165, 0.0, 0.047]"
230000000230.0,"[0.163, 0.0, -0.066]"
230400000234.0,"[0.164, 0.0, 0.046]"
230800000238.0,"[0.156, 0.0, -0.101]"
240000000240.0,"[0.156, 0.0, 0.044]"
240400000244.0,"[0.157, 0.0, 0.051]"
240800000248.0,"[0.157, 0.0, -0.087]"
250000000250.0,"[0.152, 0.0, 0.051]"
250400000254.0,"[0.16, 0.0, -0.043]"
250800000258.0,"[0.164, 0.0, 0.026]"
260000000260.0,"[0.163, 0.0, -0.016]"
260400000264.0,"[0.163, 0.0, -0.08]"
260800000268.0,"[0.164, 0.0, 0.05]"
270000000270.0,"[0.162, 0.0, 0.102]"
270400000274.0,"[0.162, 0.0, -0.064]"
270800000278.0,"[0.163, 0.0, 0.076]"
280000000280.0,"[0.162, 0.0, -0.023]"
280400000284.0,"[0.163, 0.0, -0.058]"
